"구분1(1)","구분2(1)",2017,2017,2017
"구분1(1)","구분2(1)",월세 세부형태,월세 세부형태,월세 세부형태
"구분1(1)","구분2(1)",보증금 있는 월세,보증금 없는 월세,사글세·연세·일세·주세
"전국","합계",37.5,36.5,1.2
"지역별","수도권",42.4,33.2,0.5
"지역별","비수도권",25.9,44.3,2.8
"거처 유형","숙박업소의 객실",9.7,78.2,4.2
"거처 유형","판잣집·비닐하우스",7.1,8.9,7.3
"거처 유형","고시원·고시텔",42.7,36.3,0.3
"거처 유형","기타",44.3,7.6,1.4
"전용면적","6.5㎡ 미만",5.9,89.9,1.3
"전용면적","6.5~14㎡ 미만",30.5,55.9,1.8
"전용면적","14~26㎡ 미만",57.6,7.1,0.3
"전용면적","26~36㎡ 미만",48,7.6,1.1
"전용면적","36㎡ 이상",15.3,7.9,3.7
"가구원수","1인",38.5,39.1,1
"가구원수","2인",29.2,11.3,2.2
"가구원수","3인",22.2,8.7,4.9
"가구원수","4인 이상",17.9,10.1,2.9
"가구소득","100만원 미만",24.9,56.4,0.6
"가구소득","100~200만원 미만",40.3,40.1,1.6
"가구소득","200~300만원 미만",46.5,21.9,0.6
"가구소득","300~400만원 미만",42.7,14.2,2.7
"가구소득","400만원 이상",36.8,13.3,1.9
"가구주 성별","남자",33.5,41.3,1.3
"가구주 성별","여자",46.6,25.3,1
"가구주 연령","30세 미만",54.6,25.6,0.4
"가구주 연령","30~39세",40.1,27.1,0.6
"가구주 연령","40~49세",34.7,47,1.6
"가구주 연령","50~59세",17.6,53.5,3.3
"가구주 연령","60세 이상",13.9,49.2,1.6
"가구주 학력","중학교 졸업 이하",14.3,52.5,1.8
"가구주 학력","고등학교 졸업",31.3,47.3,1.4
"가구주 학력","대학교 재학",59.2,30.9,0
"가구주 학력","대학교 졸업",43.2,25.3,1.1
"가구주 학력","대학원 재학 이상",44.5,20.5,0.4
"가구주 혼인","미혼",45.6,32.2,0.4
"가구주 혼인","배우자 있음",27.7,24.7,4
"가구주 혼인","사별",11.7,46.8,1.9
"가구주 혼인","이혼",17.8,65.9,1.6
"가구주 직업","상용근로자",48.3,16.5,0.9
"가구주 직업","임시·일용근로자",33.8,53.7,1.2
"가구주 직업","자영업자",33,18.8,4
"가구주 직업","무직·기타",28.8,51,0.7
"수급가구 여부","수급가구",9.8,76.2,0.7
"수급가구 여부","비수급가구",40.1,32.7,1.2
